exchange,volume_1,volume_2,volume_3,volume_4,volume_5,volume_6
Binance,194730.76465884314,192585.39434322226,182212.8301212183,162129.28644907038,159560.99176555304,155951.52146945472
Bitget,26987.67480134472,26808.047281957315,26239.265310705076,24090.258214218557,23921.61735409653,23856.168051952754
OKX,28803.657108065392,28396.973111247873,27885.37630413557,24514.81071829893,23890.87577078401,23575.960764341624
Bybit,31017.898470266926,30737.115399310667,28893.86000649275,24709.189197262724,23552.493954963167,22795.407725510948
Coinbase Exchange,27466.423845614536,27372.465707582054,26501.9771011886,22559.825220891627,22540.1381224029,22270.07918492361
Crypto.com Exchange,23539.43863805507,23268.05671990728,22925.888623041566,18865.724805832226,17478.016483959145,16724.849898611425
Kraken,13051.281570729945,12935.917393573438,12574.775765942186,11415.103894932281,10636.77481754708,10000.22026291628
Backpack Exchange ,306.62412024829416,359.01882707308056,377.24238508841523,408.72840191746633,467.6464536236229,493.43260523166714
Binance US,94.77928613095685,88.42226109882125,82.76831947426301,78.5481953307306,94.4252252894899,90.36100147427992
HashKey Global,29.025573468177736,27.86387400461427,35.21095580199245,40.27766609398801,40.60335043649763,43.411064261929404
Gate.io,27850.050202316244,28195.052502081933,29048.02731370718,27304.06607669978,27441.441809097163,27828.922247927214
MEXC,34219.33600410028,32535.690136465764,30212.084062487073,26773.923014547192,26004.027226074202,25441.560006231855
HTX,38539.40998928667,37964.615364887104,36832.72374789595,32860.408907116245,31027.86033269431,29765.12863984131
CoinW,14533.20720910699,14395.960204550482,13872.180760778809,12375.086163911847,12261.457552270609,12064.359280603816
WhiteBIT,8678.524323454854,8470.694727217153,8424.530380329319,8067.15348472998,8208.81715572142,8350.384884404002
KuCoin,10299.278474525614,10353.82145541316,10632.176496604669,10029.262316631366,9968.733534588619,10123.155548842858
BingX,3179.897926767665,3234.8056522046786,3138.9584139199105,2956.249916713832,2918.478906497523,2868.1824417304556
Bitfinex,1664.2947898743219,1470.4430390908576,1463.8385908043529,1344.9883461695251,1190.6189215338802,1140.5242131438088
Gemini,943.212071348762,923.4899398258617,863.1993195687343,738.7912012496358,667.0734718940736,613.3330109956343
Luno,142.48571932442763,129.78476035542954,116.79505453910393,97.71179172723411,94.25596192217684,89.36829773876282
WOO X,59.94079944253458,54.345713371860796,53.34829969169843,49.05690359871815,50.09424712343264,49.2020812067947
CoinDCX,49.35306342561866,52.51858238572465,53.6542029851824,48.78029206285894,46.77452549730898,47.64592769253152
Arkham,23.682925212084086,20.07143951522814,21.680055395688274,21.129461835764797,16.800849385835345,16.108889146753082
LBank,16634.81567905281,16603.87160282887,15979.708176480164,14328.967418105887,14367.147468486233,13967.359539282346
WEEX,20080.872763873238,19874.4151221662,19140.739841900737,15220.25954003016,13963.173829178862,13257.931953757097
DigiFinex,14347.299192602115,13986.7288087305,13257.711485694786,11256.955884395276,10765.191803891837,10386.358428302623
BitMart,10905.595328943145,10705.899532116087,10369.5984104287,9312.429944666517,8926.239499592475,8868.60062794574
